what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409923379917
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1409923407653
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1409923409008
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1409923418093
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1409923421100
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409923462373
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1409923464282
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1409923465473
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1409923468255
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1409923468415
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1409923468604
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1409923469033
started,bundle,com.ibm.ws.st.core,1.0.101.v20130328_2103,"com.ibm.ws.st.core",1409923469034
started,bundle,com.ibm.ws.st.ui,1.0.100.v20121204_2130,"com.ibm.ws.st.ui",1409923469042
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1409923469278
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1409923479861
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409923486855
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409923534200
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1409923535582
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409923551656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409923556832
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409923562432
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409923563403
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409923563421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409923566107
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409923568372
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409923636205
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409923647100
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409923661512
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409923661554
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1409923668075
