what,kind,bundleId,bundleVersion,description,time
started,bundle,com.ibm.team.workitem.common,2.3.0.v20110308_0258,"com.ibm.team.workitem.common",1412782207504
started,bundle,com.ibm.team.workitem.rcp.core,2.1.0.v20110308_0258,"com.ibm.team.workitem.rcp.core",1412782207505
started,bundle,com.ibm.team.workitem.rcp.ui,2.2.0.v20110308_0258,"com.ibm.team.workitem.rcp.ui",1412782207506
started,bundle,com.ibm.teamz.fileagent,1.1.0.v20110308_0258,"com.ibm.teamz.fileagent",1412782207507
started,bundle,com.ibm.jee.was.descriptors,1.2.201.v20121205_2240,"com.ibm.jee.was.descriptors",1412782207508
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.201.v201203090500,"org.eclipse.jst.common.project.facet.core",1412782207509
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.302.v201203062233,"org.eclipse.jst.ws.jaxrs.core",1412782207510
os,sysinfo,,,"win32",1412782207515
arch,sysinfo,,,"x86",1412782207515
ws,sysinfo,,,"win32",1412782207515
locale,sysinfo,,,"zh_CN",1412782207515
processors,sysinfo,,,"4",1412782207515
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1412782207515
java.runtime.version,sysinfo,,,"1.8.0_11-b12",1412782207515
java.specification.name,sysinfo,,,"Java Platform API Specification",1412782207515
java.specification.vendor,sysinfo,,,"Oracle Corporation",1412782207515
java.specification.version,sysinfo,,,"1.8",1412782207515
java.vendor,sysinfo,,,"Oracle Corporation",1412782207515
java.version,sysinfo,,,"1.8.0_11",1412782207515
java.vm.info,sysinfo,,,"mixed mode",1412782207515
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1412782207515
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1412782207515
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1412782207515
java.vm.specification.version,sysinfo,,,"1.8",1412782207515
java.vm.vendor,sysinfo,,,"Oracle Corporation",1412782207515
java.vm.version,sysinfo,,,"25.11-b03",1412782207515
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1412782210731
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1412782211985
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1412782212265
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1412782221068
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412782227135
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412782236343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412782253676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412782264115
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412782293008
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412782300525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412782301560
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412782305491
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1412782306358
started,bundle,org.tmatesoft.svnkit,1.1.4,"org.tmatesoft.svnkit",1412782306492
started,bundle,com.ibm.team.scm.svn.rcp.ui,2.1.0.v20110308_0258,"com.ibm.team.scm.svn.rcp.ui",1412782306492
started,bundle,com.ibm.team.scm.svn.esubversive.ui,2.1.0.v20110308_0258,"com.ibm.team.scm.svn.esubversive.ui",1412782306493
started,bundle,com.ibm.team.workitem.java.common,2.1.0.v20110308_0258,"com.ibm.team.workitem.java.common",1412782306494
started,bundle,com.ibm.team.scm.svn.subclipse.ui,2.1.0.v20110308_0258,"com.ibm.team.scm.svn.subclipse.ui",1412782306502
started,bundle,com.ibm.team.workitem.ide.ui,2.2.0.v20110308_0258,"com.ibm.team.workitem.ide.ui",1412782306509
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1412782307472
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1412782339790
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1412782339959
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1412782340030
